channel_name,num_spikes,cell_type,PSNR,eig1,eig2,eig3,converged,PSNR1,PSNR2,weight1,weight2,inner_product
12a,4173,ON,15.123475199966354,0.5784034408681613,0.5521948311765646,0.5444418977101353,True,14.805329051424671,9.885886683846289,0.5592804377848171,0.4407195622151817,0.1354318564684418
12b,1239,OFF,18.62436762552253,0.7441220193188582,0.7286743590419277,0.7192563759034691,True,13.026329086959418,16.507677430086723,0.46672617092962393,0.5332738290703767,0.16253612102668702
12c,80,OFF,9.580538830223949,2.975777721094096,2.9374117836997247,2.8987256144934475,True,5.791373739950463,7.856035065701203,0.2702156318201494,0.7297843681798507,-0.4546130952380952
13a,8830,OFF,16.53842023231651,0.43260358852012776,0.4243800215316907,0.42261056072631775,True,8.298633539441184,8.123766457548264,0.5006778791891999,0.49932212081079996,-0.210358556905324
13b,998,OFF,17.037105763305604,1.284069116992154,1.2168702031689358,1.162346579337977,True,17.25279256519901,5.708884845787785,0.9709161914656927,0.02908380853430743,0.6327451618149289
13c,628,ON,17.011752764724378,1.4840824422218093,1.4194474886901511,1.3068252714371593,True,4.188339183043626,17.103186826956403,0.013264856646877198,0.9867351433531223,0.9557946590614466
13d,342,unknown,7.128652324644398,1.776912203670806,1.6589303050526074,1.6471896934371104,True,5.702925509611454,6.904927508802908,0.09168800516238368,0.9083119948376157,-0.12174603174603185
13e,112,unknown,5.878483869635203,2.438374649994974,2.3301790715002912,2.277194189237107,True,6.22651729448572,5.546053096937391,0.5799907195106899,0.42000928048931024,-0.7740885416666667
14a,863,OFF,13.178734260803736,1.0572558507683623,1.034104896958722,0.9910368406795194,True,12.879353819548959,5.966154635234878,0.9707034318596693,0.02929656814033161,0.2011681608258625
14b,760,OFF,13.728054255911923,1.045664846846528,1.023996059110728,0.9653011281417728,True,13.796653738411548,5.292333055169607,0.9765112588018809,0.023488741198119296,0.5009624094202899
14c,214,ON,10.645620054970443,1.768599857662317,1.7596643431446102,1.7026481700674776,True,10.703178798701453,4.741463469724396,0.9600355292915286,0.03996447070847183,0.12706270627062716
14d,73,unknown,5.396634555312554,7.419156097110746,4.2451991411345515,3.8221571401816457,True,3.22290372763658,6.31885097563572,0.0441176470586695,0.9558823529413307,0.051923076923076905
16a,1600,unknown,7.602385221537277,0.8073224052681046,0.7708647562195948,0.7690575772442839,True,6.529313249510211,6.770970263615291,0.6786525452434651,0.32134745475653487,0.02471142046326128
16b,234,unknown,6.715107826624896,2.1855837283830826,2.1362429205611653,1.9955411494061146,True,6.195680715493929,5.2422983971586605,0.9365476975775779,0.0634523024224219,-0.015194954128440435
16c,102,unknown,6.076516318010537,5.343659087017623,3.3535375126334594,3.313686780116113,True,5.761237809919369,2.000137343247643,0.9891304347826086,0.010869565217391328,0.14285714285714268
17a,2743,ON,17.109873299736513,0.5195835382180678,0.5069554266535679,0.505867886361862,True,8.235106099586085,12.986343251309549,0.40966414832183345,0.5903358516781653,-0.15448699364528634
17b,432,unknown,7.897287423047557,1.8124404292457716,1.4098345231107345,1.3693867973911262,True,7.63679392763301,2.0007481001952483,0.9973045822102425,0.002695417789757418,-0.052693208430913574
17c,394,unknown,6.080982332086062,1.9242328279991123,1.897407413351472,1.8749006328000999,True,6.339147362778363,5.606058457555135,0.7511363461072028,0.24886365389279716,0.11954774407887685
17d,88,unknown,6.5371072740755185,4.692952975620746,3.993568536459873,3.660814484325342,True,6.235789891834866,2.0007481001952483,0.9868421052631579,0.013157894736842134,0.10000000000000009
21a,3114,OFF,24.18276495513611,0.655560037648733,0.6251287706318274,0.6089918997020974,True,20.548731398589855,13.089513414178798,0.6118065862328782,0.3881934137671222,-0.02846529143698953
21b,241,unknown,8.954060508596292,5.766456616581649,5.400769381532678,5.269911649916608,True,8.076669782822254,6.915736371434086,0.6611295804027892,0.3388704195972111,0.5888412610619471
21c,121,unknown,9.642001719150347,6.186044681002589,5.7455743657757745,5.129130042810245,True,6.187779122641023,8.583096917855853,0.2105679020524445,0.7894320979475552,0.6965761511216058
21d,246,unknown,8.160056450641584,2.446412915429374,2.1535601787765,2.0348385693154745,True,8.056705377530609,4.014420509056392,0.976620270192754,0.023379729807245665,0.363486299108617
21e,138,ON,11.634252367221858,2.547134682930083,2.4317836229580174,2.3311131718115905,True,12.319629120164805,4.547915653628581,0.9487382618496788,0.05126173815032089,0.30923407301360084
22a,2860,ON,17.556723676819928,0.8382460621062953,0.7044585153727682,0.671715011554642,True,18.716529622873882,14.826105037089826,0.6473647835680295,0.3526352164319699,-0.4795333338556548
22b,2413,unknown,6.267734998652674,0.8351593208933968,0.7824299738723601,0.7322169088243892,True,12.855867557116532,10.573821103095485,0.3798987114033844,0.620101288596615,-0.31145412982278187
23a,361,unknown,6.406902984849998,2.940301393013888,2.8109136177163583,2.6601076048878514,True,7.400725895777602,5.558173769857589,0.9376248547122443,0.06237514528775543,0.07774261603375532
23b,1130,OFF,18.10371598660873,1.3112854028655858,1.2059935363355778,1.188911213381321,True,6.820311665256252,17.98451983883257,0.04270160370730181,0.9572983962926983,0.620367428120844
23c,140,OFF,7.998063527732367,5.08164773661531,4.593444223664407,4.375835485648459,True,4.584958241643824,7.147754460925911,0.10592725969640995,0.8940727403035901,0.7231512448903754
23d,84,OFF,9.449286908244662,5.011314973813984,4.122496624928405,3.6954263641997716,True,2.0007481001952483,9.777878363927792,0.013157894736842134,0.9868421052631579,-0.40740740740740744
25a,4898,ON,12.069425553021425,0.5522446621765997,0.5493295560738408,0.5312465209508834,True,6.2439668522751015,12.503416266285996,0.4672353198816368,0.5327646801183633,-0.0023411894946905624
25b,2190,ON,21.329144755570724,1.0757166303483991,0.8636468893959198,0.8438805554371915,True,21.813295979023998,9.714247604602647,0.6952949913057153,0.30470500869428413,0.4276337272995407
25c,1507,OFF,10.319783475597038,0.8975828667577791,0.8168082919911902,0.8142195424393514,True,10.782655348975311,4.346059413880462,0.9947053684308929,0.005294631569107529,0.019757257257257237
26a,5308,OFF,16.000066515125596,0.688606390562164,0.6247331893879671,0.6197300150382677,True,14.208944425468747,9.773112924151684,0.5712561901631132,0.42874380983688654,0.02447506765311947
26b,1121,ON,16.62203488840807,1.329845718060154,1.1141217849196239,1.0798805891001984,True,9.829613602902182,16.80444311925772,0.1885392034589738,0.8114607965410265,0.9154457745220654
26c,360,OFF,10.314951685757055,2.5520157932888234,2.4794736735745255,2.1808197100367073,True,10.473642252264312,3.404791619642954,0.9848707605120165,0.015129239487983505,0.5138055222088838
26d,207,unknown,7.118389755592324,6.373785685229142,5.9377840409205405,5.892624067015345,True,5.4059556358787475,6.8392168946560545,0.1030524074051557,0.8969475925948441,0.3727823938917585
27a,6080,OFF,15.006151537079953,0.45961670421312967,0.45505387242976775,0.44659280337724366,True,8.226195038333243,9.067287474225814,0.5038411500490927,0.4961588499509073,-0.2346849504753078
27b,3056,ON,16.491749041581446,0.5554345966582599,0.5459371971933887,0.5407378417193908,True,12.666693486544759,5.831095950469007,0.5594339286664695,0.44056607133353143,-0.2287051426564129
27c,1177,ON,12.135911824916702,0.7455630485559691,0.7388825350517082,0.7127600465829933,True,7.812627165660807,9.340832671971041,0.4328851731905645,0.5671148268094357,-0.15309698527403198
27d,1331,OFF,15.340199430588504,0.8801587995609937,0.8561322770850376,0.8330054050768104,True,14.895804401211139,8.573610224021891,0.7235851878481154,0.2764148121518841,0.23990468649625762
28a,5535,OFF,15.858221906638166,0.5577158463763091,0.518167066531779,0.5105764843990767,True,14.219556539948993,6.161892052025099,0.5984540062836766,0.4015459937163243,-0.06673027206138085
28b,3152,ON,9.174550655503674,0.6564447714823101,0.6034629075591271,0.5651580938864986,True,7.610563156226051,8.06112698785892,0.45608223908307866,0.5439177609169211,0.019482766862660737
28c,1149,ON,18.88343746759802,1.1860918116542036,1.0354899919705973,1.0285656698065955,True,13.972499430275256,17.73513996132927,0.4293916347168011,0.5706083652831997,0.4954394222953174
31a,11785,OFF,23.46062259291965,0.43635049516540225,0.432908231723926,0.42671560540023334,True,13.106691254069416,11.02528822779621,0.5081323796048695,0.49186762039513043,-0.1791340704302692
31b,2909,ON,24.264938180398048,0.9496189028532717,0.7925320056618015,0.7644162459894667,True,23.240359860703837,10.357724766166273,0.7036002781651198,0.29639972183488034,0.18120841830106538
31c,273,ON,8.504175017619025,1.8495203875558168,1.6186501354752802,1.5626711835461928,True,2.4789774681380865,8.37018555932379,0.007607186400485059,0.9923928135995149,0.3378252788104093
31d,313,ON,12.423757791764388,1.3583916394472018,1.2826523280314803,1.2734523787071932,True,9.532497500247235,7.152441506796006,0.5544386821963357,0.44556131780366365,-0.3688104245481293
32a,5544,OFF,21.449005628385333,0.4729797780498331,0.470517155038758,0.46113640841509884,True,10.91870256800502,10.894741935909853,0.5118797705009736,0.4881202294990269,-0.1990057111513699
32b,9649,ON,15.647997012893564,0.44638968316037186,0.44044102197446766,0.4375225472644058,True,9.80787028607641,8.128107369540132,0.5155227936681003,0.4844772063318995,-0.21336637485717813
32c,973,unknown,6.720981935685151,0.7542428267227971,0.7479286026055547,0.7330995359093538,True,6.347115718725335,5.772032591470608,0.49526739047459944,0.5047326095254007,-0.3483002114164906
33a,1244,ON,22.77261299629495,0.9475712751207942,0.8822467750073548,0.8430479164618975,True,23.03066892388801,9.336190256027896,0.7924433606580189,0.20755663934198132,0.4225282026476295
33b,969,OFF,17.22493315788102,1.3310259643801168,1.2753516114193892,1.254715778994893,True,17.09814318593836,5.09807348359984,0.9815034821467263,0.018496517853274323,0.45216568544995805
33c,61,unknown,7.979319224344462,6.757791166598369,3.5970596705045055,3.525700218352286,True,7.9749853046645525,2.002997447735553,0.9830508474576272,0.01694915254237292,1.2068965517241383
33d,73,unknown,6.2925157684795705,3.402822320653383,3.124425890470318,3.039578265042769,True,6.348406540960579,7.034672867627433,0.6461031371958231,0.35389686280417715,-0.7569558101472996
35a,9247,OFF,19.49494813974586,0.44461896275053414,0.43863629809423443,0.430878790422226,True,12.148226126378455,9.27385050240215,0.522008540898398,0.4779914591016025,-0.15849500460908666
35b,222,OFF,13.736298467848526,2.259472398176505,2.2465233356823155,2.110986910029761,True,13.259680554969576,4.526741002341424,0.9597322029676303,0.040267797032369164,0.1304347826086958
35c,28,unknown,7.91706703895637,6.982711338897668,6.567074092570519,6.252106982584799,True,6.167154605219066,5.385236793172505,0.5476357459161276,0.45236425408387265,-1.1564102564102565
35d,118,OFF,10.929587465640727,4.92522594678213,3.6252329535530405,3.1911921939267134,True,10.30680393696526,3.962790851361143,0.955028638918297,0.044971361081702854,0.2527612574341546
